i'm,i am
you're,you are
he's,he is
she's,she is
it's,it is
we're,we are
they're,they are
i've,i have
you've,you have
we've,we have
they've,they have
would've,would have
i'd,i had
you'd,you had
he'd,he had
she'd,she had
we'd,we had
they'd,they had
i'll,i will
you'll,you will
he'll,he will
she'll,she will
it'll,it will    
we'll,we will
they'll,they will
ain't,am not 
isn't,is not
aren't,are not
wasn't,was not
weren't,were not
hasn't,has not
haven't,have not
hadn't,had not
doesn't,does not
don't,do not
didn't,did not
won't,will not
wouldn't,would not
shan't,shall not
shouldn't,should not
can't,can not
couldn't,could not
mustn't,must not
let's,let us
that's,that is
who's,who is
what's,what is
here's,here is
there's,there is
when's,when is
where's,where is
why's,why is
how's,how is
y'all,you all
